		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   24   28   24   18   21   17   21   22  5.838848 0.665278 SUCCESS   0
000000011   28   29   25   22   25   22   18   24  3.705949 0.882632 SUCCESS   1
000000101   22   21   22   16   16   24   25   21  7.464670 0.487425 SUCCESS   2
000000111   31   24   23   18   25   23   21   28  4.807483 0.777940 SUCCESS   3
000001001   18   25   22   24   18   19   33   26  8.212708 0.412973 SUCCESS   4
000001011   23   26   26   21   21   25   29   32  4.639341 0.795336 SUCCESS   5
000001101   20   30   33   16   29   23   18   28 11.535846 0.173145 SUCCESS   6
000001111   27   22   24   15   16   16   20   29 11.972753 0.152424 SUCCESS   7
000010001   18   35   30   25   17   18   30   22 13.467503 0.096745 SUCCESS   8
000010011   23   29   21   22   20   25   26   20  3.476242 0.901026 SUCCESS   9
000010101   19   26   22   28   21   28   22   21  3.908515 0.865282 SUCCESS  10
000010111   26   27   27   23   21   21   35   26  6.614026 0.578789 SUCCESS  11
000011001   22   23   17   19   24   25   24   24  3.915797 0.864640 SUCCESS  12
000011011   25   16   23   23   29   21   21   24  5.051754 0.752031 SUCCESS  13
000011101   22   31   23   28   33   19   25   20  7.926732 0.440660 SUCCESS  14
000011111   26   19   20   21   22   25   32   25  5.374800 0.716868 SUCCESS  15
000100011   20   32   27   19   21   23   31   20  8.027353 0.430803 SUCCESS  16
000100101   23   24   21   21   27   27   26   23  1.833208 0.985705 SUCCESS  17
000100111   23   35   24   22   21   22   26   23  6.019568 0.645040 SUCCESS  18
000101001   25   22   26   33   25   25   29   22  4.673764 0.791807 SUCCESS  19
000101011   24   27   27   30   25   22   25   24  2.190677 0.974601 SUCCESS  20
000101101   26   25   25   21   25   26   25   28  1.317526 0.995339 SUCCESS  21
000101111   25   24   23   19   20   23   26   26  2.459441 0.963595 SUCCESS  22
000110011   22   18   19   19   29   26   30   21  7.272034 0.507587 SUCCESS  23
000110101   22   34   38   22   31   19   14   30 21.222597 0.006579 FAILURE  24
000110111   25   24   19   29   28   20   25   23  3.621216 0.889581 SUCCESS  25
000111001   35   25   27   25   23   19   25   31  8.258384 0.408646 SUCCESS  26
